Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2026-06-22,H (Mar 2027),0.0000,22.3000,22.6500,0.0000,22.55,0,0,0,0
2026-06-23,H (Mar 2027),0.0000,22.5500,22.6000,0.0000,22.675,0.125,0,0,0
2026-06-24,H (Mar 2027),0.0000,22.5000,22.6000,0.0000,22.525,-0.150,0,0,0
2026-06-25,H (Mar 2027),0.0000,22.2000,22.5000,0.0000,22.325,-0.200,0,0,0
2026-06-26,H (Mar 2027),0.0000,22.3000,22.4000,0.0000,22.275,-0.050,0,0,0
2026-06-29,H (Mar 2027),22.1500,22.2500,22.1500,22.2100,22.15,-0.125,10,0,6
2026-06-30,H (Mar 2027),21.9500,22.1000,21.9500,21.9500,21.975,-0.175,25,0,31
2026-07-01,H (Mar 2027),21.9500,22.0300,21.9500,22.0300,21.9602,-0.0148,5,0,35
2026-07-02,H (Mar 2027),22.0500,22.0500,21.9500,22.0500,22.10,0.1398,3,0,38
2026-07-06,H (Mar 2027),22.0500,22.1000,21.9400,21.9700,22.05,-0.05,92,0,123
2026-07-07,H (Mar 2027),0.0000,22.1000,22.1000,0.0000,22.125,0.075,0,0,123
2026-07-08,H (Mar 2027),22.1000,22.3000,21.8400,21.8400,22.00,-0.125,76,0,199
2026-07-09,H (Mar 2027),21.9500,21.9500,21.9200,21.9200,22.00,0.00,7,0,205
2026-07-10,H (Mar 2027),22.0300,22.1200,22.0000,22.0500,22.125,0.125,24,0,224
2026-07-13,H (Mar 2027),22.1000,22.1500,22.1000,22.1500,22.10,-0.025,16,0,238
2026-07-14,H (Mar 2027),22.1500,22.1600,22.1000,22.1500,22.15,0.05,47,0,282
2026-07-15,H (Mar 2027),22.1400,22.1800,22.0500,22.0600,22.10,-0.05,14,0,288
2026-07-16,H (Mar 2027),22.1100,22.2000,22.0900,22.1000,22.225,0.125,18,0,298
2026-07-17,H (Mar 2027),22.4000,22.4500,22.2800,22.3900,22.3975,0.1725,111,0,398
2026-07-20,H (Mar 2027),22.4000,22.4000,22.1500,22.1500,22.275,-0.1225,6,0,400
2026-07-21,H (Mar 2027),22.3500,22.3500,22.2300,22.3000,22.275,0.000,127,0,481
2026-07-22,H (Mar 2027),22.3000,22.4500,22.2800,22.4000,22.425,0.150,194,0,592
2026-07-23,H (Mar 2027),22.4000,22.8000,22.4000,22.6700,22.65,0.225,49,0,616
2026-07-24,H (Mar 2027),22.6500,22.7300,22.5100,22.7200,22.70,0.05,102,0,667
2026-07-27,H (Mar 2027),22.6000,22.6500,22.5000,22.5500,22.55,-0.15,94,0,711
2026-07-28,H (Mar 2027),22.5000,22.6000,22.4000,22.4800,22.475,-0.075,102,0,759
2026-07-29,H (Mar 2027),22.4000,22.8500,22.4000,22.8000,22.683,0.208,199,0,865
2026-07-30,H (Mar 2027),22.7500,22.8000,22.4400,22.4400,22.50,-0.183,83,0,896
2026-07-31,H (Mar 2027),22.4000,22.6000,22.4000,22.4000,22.425,-0.075,106,0,917
2026-08-03,H (Mar 2027),22.2000,22.3700,22.0700,22.3500,22.3566,-0.0684,136,0,942
2026-08-04,H (Mar 2027),22.3000,22.3500,22.1700,22.2500,22.225,-0.1316,302,0,1140
